ASROCK,,,,,,,,,,,
X570 Aqua,E-ATX,✔,✔,✔,✔,6 * 2,ISL6617A,1x SiC634 50A Power Stage,,,
X570 Creator,ATX,✔,✔,✔,✔,6 * 2,ISL6617A,1x SiC634 50A Power Stage,,,
X570 Extreme4,ATX,―,―,―,―,4,,,,,
X570 Phantom Gaming 4,ATX,―,―,―,―,4,,,,,
X570 Phantom Gaming X,ATX,✔,✔,✔,✔,6 * 2,ISL6617A,1x SiC634 50A Power Stage,,✔,
X570 Phantom Gaming-ITX/TB3,mITX,―,―,―,―,4 * 2,ISL6617A,,,,
X570 Pro4,ATX,―,―,―,―,4,,,,,
X570 Steel Legend,ATX,―,―,―,―,4,,,,,
X570 Taichi,ATX,✔,✔,✔,✔,6 * 2,ISL6617A,1x SiC634 50A Power Stage,,✔,
X570M Pro4,mATX,―,―,―,―,4,,,,,
ASUS,,,,,,,,,,,
Prime X570-P,ATX,✔,✔,✔,✔,4,,2x SiC639 50A Power Stage,,,
Prime X570-Pro,ATX,―,―,―,―,,,,,,
Pro WS X570-Ace,ATX,✔,✔,✔,✔,6,,2x IR3555 60A Power Stage,,,
ROG Crosshair VIII Formula,ATX,✔,✔,✔,✔,7,,2x IR3555 60A Power Stage,,✔,
ROG Crosshair VIII Hero [Wi-Fi],ATX,✔,✔,✔,✔,7,,2x IR3555 60A Power Stage,,✔,
ROG Crosshair VIII Impact,mDTX,✔,✔,✔,✔,4,,2x TDA21472 70A Power Stage,,✔,
ROG Strix X570-E Gaming,ATX,✔,✔,✔,✔,6,,2x IR3555 60A Power Stage,,✔,
ROG Strix X570-F Gaming,ATX,✔,✔,✔,✔,4,,3x SiC639 50A Power Stage,,✔,
ROG Strix X570-I Gaming,mITX,✔,✔,✔,✔,4,,2x TDA21472 70A Power Stage,,,
TUF Gaming X570-Plus [Wi-Fi],ATX,✔,✔,✔,✔,4,,3x SiC639 50A Power Stage,,,
BIOSTAR,,,,,,,,,,,
Racing X570GT8,ATX,✔,✔,✔,✔,4 * 2,IR3599,1x IR3555 60A Power Stage,,,
GIGABYTE,,,,,,,,,,,
X570 Aorus Elite,ATX,✔,✔,✔,✔,6 * 2,ISL6617A,1x SiC634 50A Power Stage,,✔,
X570 Aorus Master,ATX,✔,✔,✔,✔,12,,1x IR3556 50A Power Stage,,✔,
X570 Aorus Pro [Wi-Fi],ATX,✔,✔,✔,✔,6 * 2,IR3599,1x IR3553 40A Power Stage,,✔,
X570 Aorus Ultra,ATX,✔,✔,✔,✔,6 * 2,IR3599,1x IR3553 40A Power Stage,,✔,
X570 Aorus Xtreme,E-ATX,✔,✔,✔,✔,14,,1x TDA21472 70A Power Stage,,✔,
X570 Gaming X,ATX,＊,✔,✔,✔,5 * 2,ISL6617A,1x 4C10N,2x 4C06N,✔,
